Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-09-15,Пурвциемс,Лиелвардес 123,2,50,5/5,Рекон.,68250
2025-09-15,центр,Стабу 68,2,32,1/2,Дов. дом,30000
2025-09-15,Плявниеки,Рембатес 8,3,77,2/10,Нов.,148000
2025-09-15,центр,Валмиерас 6,2,34,3/3,Дов. дом,30000
2025-09-15,Кенгарагс,Латгалес 279 k-1,3,61,4/5,Лит. пр.,58200
2025-09-15,Пурвциемс,Лиелвардес 123,2,50,5/5,Рекон.,68250
2025-09-15,р-он,ул. Латгалес Латгалес 224,2,51,5/9,467-я,57000
2025-09-15,Иманта,Курземес пр. 18,2,36,4/5,М. сем.,39998
2025-09-15,Пурвциемс,Кегума 43,1,39,4/5,М. сем.,45000
2025-09-15,Болдерая,Финиера 15,1,34,5/5,103-я,26500
2025-09-15,Чиекуркалнс,Чиекуркална 4 п. л. 8,3,65,1/5,Спец. пр.,85000
2025-09-15,р-н,ул.Краста Латгалес 224,2,51,5/9,467-я,57000
2025-09-15,Тейка,Вийциема 8,2,30,1/4,Нов.,78650
2025-09-15,Чиекуркалнс,Чиекуркална 7 п. л. 7a,2,30,1/4,Рекон.,78650
2025-09-15,центр,Клияну 20,1,48,2/4,Рекон.,75000
2025-09-15,Межапарк,Гауяс 63,2,30,1/4,Нов.,78650
2025-09-15,центр,Авоту 73,2,42,2/6,Дов. дом,78000
2025-09-15,центр,Гертрудес 22,4,150,3/5,Дов. дом,295000
2025-09-15,Зиепниеккалнс,Озолциема 56 k-2,2,52,9/9,602-я,52500
2025-09-15,Шампетерис-Плескодале,Стендес 1,2,40,4/3,Хрущ.,50000
2025-09-15,Агенскалнс,Баложу 28,1,23,2/3,Рекон.,58000
2025-09-15,Югла,Мурьяню 36,2,49,2/5,Лит. пр.,70000
2025-09-15,Саркандаугава,Виестура пр. 19,2,48,1/3,Хрущ.,36000
2025-09-15,Агенскалнс,Зеллю 13,1,28,1/3,Рекон.,68002
2025-09-15,Агенскалнс,Даугавгривас 68a,2,68,4/5,Сталинка,78000
2025-09-15,Плявниеки,Улброкас 5,1,44,6/9,М. сем.,42000
2025-09-15,Торнякалнс,Виенибас Г. 65,2,55,1/1,Рекон.,63000
2025-09-15,Дарзциемс,Скудру 39/4,2,55,3/5,103-я,61000
2025-09-15,Торнякалнс,Елгава 63,5,240,6/7,Спец. пр.,390000
2025-09-15,Зиепниеккалнс,Виенибас Г. 65,2,55,1/1,Рекон.,63000
2025-09-15,Плявниеки,Салнас 12,3,62,5/9,602-я,83000
2025-09-15,Плявниеки,Сахарова 15,2,49,8/12,104-я,68900
2025-09-15,центр,Клияну 22,2,33,5/8,Рекон.,32400
2025-09-15,Биерини,Арлавас 5,2,68,1/1,Ч. дом,125000
2025-09-15,центр,Лиенес 9,2,40,4/5,Дов. дом,65000
2025-09-15,Зиепниеккалнс,Баускас 43А,2,70,1/4,Сталинка,104500
2025-09-15,Агенскалнс,Элвирас 13B,2,45,2/5,Лит. пр.,67000
2025-09-15,центр,Дзирнаву 31,3,149,6/6,Дов. дом,390000
2025-09-15,Югла,Аудума 31,3,55,2/5,Лит. пр.,55000
2025-09-15,Болдерая,Стурманю 25,2,53,4/4,Нов.,62500
2025-09-15,центр,Клияну 6,2,62,7/9,Нов.,125000
2025-09-15,Вецрига,Мейстару 6,4,67,4/5,Дов. дом,189000
